"Position","Candidate Name","Votes","Votes %","Party"
1,Charanjeet Singh Rori,506370,39.6%,Indian National Lok Dal
2,Ashok Tanwar,390634,30.5%,Indian National Congress
3,Dr. Sushil Indora,241067,18.8%,Haryana Janhit Congress (BL)
4,Poonam Chand Ratti,66844,5.2%,Aam Aadmi Party
5,Mangeram,20750,1.6%,Bahujan Samaj Party
6,Comrade Ram Kumar,11194,0.9%,Communist Party Of India (MARXIST)
7,Ranvir Khobra,7308,0.6%,Independent
8,Rajbir Palna,5636,0.4%,Independent
9,Raj Kumar Nagar,4208,0.3%,Samajwadi Party
10,Mewa Singh,4136,0.3%,Independent
11,Surender Kumar (URF) MENPAL PHOOLA,3432,0.3%,Independent
12,Hansraj Hansa,2901,0.2%,Jan Morcha
13,Sanjiv Bhojraj,2350,0.2%,Vanchitsamaj Insaaf Party
14,Balwant Singh,2201,0.2%,Bharatiya Sant Mat Party
15,Jagdish,2145,0.2%,Independent
16,Jaipal Bhatti,1365,0.1%,Independent
17,Manjeet Singh,1334,0.1%,Independent
18,Fakir Chand,1197,0.1%,Independent
