"Position","Candidate Name","Votes","Votes %","Party"
1,Nishikant Dubey,380500,36.3%,Bharatiya Janta Party
2,Furkan Ansari,319818,30.5%,Indian National Congress
3,Pradip Yadav,193506,18.4%,Jharkhand Vikas Morcha (Prajatantrik)
4,Damodar Singh,28246,2.7%,All India Trinamool Congress
5,Sunil Kumar Gupta,22349,2.1%,Independent
6,Manraj,20871,2.0%,Bahujan Samaj Party
7,Rajvardhan Azad,14034,1.3%,Janata Dal (United)
8,Subodh Prasad,10998,1.0%,Ajsu Party
9,Niranjan Prasad Yadav,9059,0.9%,Independent
10,Manoj Kumar Ray,7447,0.7%,Independent
11,Navin Chandra Jha,7278,0.7%,Independent
12,Md. Noor Hassan,5132,0.5%,Samata Party
13,Jai Shankar Jha,5080,0.5%,Aam Aadmi Party
14,Md. Jenul,4466,0.4%,Bahujan Mukti Party
15,Gita Mandal,4344,0.4%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
16,Mahendra Murmu,3904,0.4%,Jharkhand Vikas Dal
