"Position","Candidate Name","Votes","Votes %","Party"
1,Dr. Kirit P Solanki,617104,64.0%,Bharatiya Janta Party
2,Ishwarbahi Dhanabhai Makwana,296793,30.8%,Indian National Congress
3,J J Mevada,17332,1.8%,Aam Aadmi Party
4,Chavda Mansukhbhai Nagarbhai,6205,0.6%,Bahujan Samaj Party
5,Solanki Vitthalbhai Maganbhai,2837,0.3%,Independent
6,Dr J G Parmar,2564,0.3%,Bahujan Mukti Party
7,Narendra Sankhaliya,1391,0.1%,Loktantrik Samajwadi Party
8,Solanki Rameshbhai Danabhai,1256,0.1%,Independent
9,Amrut Sonara,941,0.1%,Bahujan Suraksha Dal
10,Aayar Muljibhai Khanabhai,808,0.1%,Independent
11,Parmar Harjivanbhai Kalabhai,807,0.1%,Independent
