"Position","Candidate Name","Votes","Votes %","Party"
1,Ravindra Kumar Pandey,391913,40.4%,Bharatiya Janta Party
2,Jagarnath Mahto,351600,36.2%,Jharkhand Mukti Morcha
3,Saba Ahmad,57380,5.9%,Jharkhand Vikas Morcha (Prajatantrik)
4,Umesh Chandra Mehta,55531,5.7%,Ajsu Party
5,Jaleshwar Mahato,40010,4.1%,Janata Dal (United)
6,Sanjeev Kumar Mahato,13132,1.4%,Independent
7,Ashutosh Verma,11355,1.2%,All India Trinamool Congress
8,Gurjeet Singh,7071,0.7%,Aam Aadmi Party
9,Dilip Kr Rajak,6406,0.7%,Independent
10,Kartik Mahto,6341,0.7%,Bahujan Samaj Party
11,Sohrab Shah,5072,0.5%,Bahujan Mukti Party
12,Bideshi Mahto,4325,0.4%,Jharkhand Disom Party
13,Shiva Mahto,3660,0.4%,Independent
14,Sajjadur Rab Hasami,3512,0.4%,Independent
15,Sanjeev Kumar Sinha,2988,0.3%,All India Forward Bloc
16,Jeetendra Kumar,2825,0.3%,Samajwadi Party
17,Mrinal Kanti Dev,1997,0.2%,Socialist Party (LOHIA)
