"Position","Candidate Name","Votes","Votes %","Party"
1,Virender Kashyap,385973,52.3%,Bharatiya Janta Party
2,Mohan Lal Brakta,301786,40.9%,Indian National Congress
3,Subhash Chander,14233,1.9%,Aam Aadmi Party
4,Jagat Ram,11434,1.5%,Communist Party Of India (MARXIST)
5,Virender Kumar Kashyap,6173,0.8%,Independent
6,Gurnam Singh Koli,5985,0.8%,Bahujan Samaj Party
7,Shurveer Singh,4385,0.6%,Samajwadi Party
