"Position","Candidate Name","Votes","Votes %","Party"
1,Kambhampati Hari Babu,566832,48.7%,Bharatiya Janta Party
2,Y.S Vijayamma,476344,40.9%,Yuvajana Sramika Rythu Congress Party
3,Bolisetti Satyanarayana (SATYA),50632,4.4%,Indian National Congress
4,Imandi Venkata Kurmarao,14947,1.3%,Bahujan Samaj Party
5,Sabbam Hari,6644,0.6%,Jai Samaikyandhra Party
6,Kuna Ramam,6175,0.5%,Aam Aadmi Party
7,Tanuku Divakar,5418,0.5%,Independent
8,Jt Ramarao,4323,0.4%,Samaikyandhra Parirakshana Samithi
9,Dadi Jyothi Bhavani,2717,0.2%,Pyramid Party Of India
10,Durgaprasad Guntu,2611,0.2%,Independent
11,Nagendra Sairam,2377,0.2%,Independent
12,Kurada Satyanarayana Patnaik,1927,0.2%,Independent
13,Dr. Bhavani Sankar Sastry .A,1910,0.2%,Indian Christian Secular Party
14,Kutikuppala Surya Rao,1889,0.2%,Independent
15,Seemakurthi Srinuvasu (BHAGHAVAN SRINU),1759,0.2%,Independent
16,Umamaheswararao Areti,1751,0.2%,Independent
17,Chalapathirao Ronanki,1594,0.1%,Independent
18,J. Padmaja,1540,0.1%,Independent
19,Sreenadh Reddy,1379,0.1%,Independent
20,Chandrasekhar Budda,1348,0.1%,Independent
21,Gedela Krishnarao,1118,0.1%,Independent
22,Brahma Swaroop Kasibhatta,994,0.1%,Independent
