"Position","Candidate Name","Votes","Votes %","Party"
1,M .K Raghavan,397615,42.2%,Indian National Congress
2,A.Vijayaraghavan,380732,40.4%,Communist Party Of India (MARXIST)
3,C K.Padmanabhan,115760,12.3%,Bharatiya Janta Party
4,K P Ratheesh,13934,1.5%,Aam Aadmi Party
5,Musthafa Kommeri,10596,1.1%,Social Democratic Party Of India
6,Adv.N.P.Prathap Kumar,6993,0.7%,Independent
7,M.Vijayaraghavan,2665,0.3%,Independent
8,M Raghavan,2331,0.2%,Independent
9,Vijayaraghavan.K.,1991,0.2%,Independent
10,Velayudhan K.P.,1909,0.2%,Bahujan Samaj Party
11,V M Raghavan,964,0.1%,Independent
12,Thrissur Nazeer,665,0.1%,Independent
13,Muhammed Riyas,473,0.1%,Independent
