"Position","Candidate Name","Votes","Votes %","Party"
1,Akshay Yadav,534583,48.4%,Samajwadi Party
2,Prof. S.P. Singh Baghel,420524,38.1%,Bharatiya Janta Party
3,Th. Vishwadeep Singh,118909,10.8%,Bahujan Samaj Party
4,Atul Chaturvedi,7447,0.7%,Indian National Congress
5,Upendra Singh,3696,0.3%,Bharatiya Kisan Parivartan Party
6,Shamsher Kha,3526,0.3%,Peace Party
7,Rakesh Yadav,2808,0.3%,Aam Aadmi Party
8,Rajveer,2425,0.2%,Independent
9,Mirja Mukarram Baig,1470,0.1%,Independent
10,Jay Prakash,1248,0.1%,Shiv Sena
11,Lakshmi Narayan,939,0.1%,Rashtriya Janwadi Party (Krantikari)
12,Khajan Singh,753,0.1%,Lok Dal
13,Laxmi,620,0.1%,Bhartiya Shakti Chetna Party
14,Rajendra Prasad,506,0.0%,Bahujan Mukti Party
15,Rahat Afroz,498,0.0%,Indian Union Muslim League
