"Position","Candidate Name","Votes","Votes %","Party"
1,Subhash Baheria,630317,57.1%,Bharatiya Janta Party
2,Ashok Chandna,384053,34.8%,Indian National Congress
3,Govind Kumar Bairwa,15088,1.4%,Bahujan Samaj Party
4,Satya Prakash Sharma,11982,1.1%,Independent
5,Chandra Prakash Gocher,10344,0.9%,Bharatiya Yuva Shakti
6,Ratan Lal Dhobi,7110,0.6%,Independent
7,Surendar Singh Ranawat,6737,0.6%,Independent
8,Sunil Agiwal,5909,0.5%,Aam Aadmi Party
9,Radhy Shyam Vaishnav,5684,0.5%,Bahujan Sangharshh Dal
10,Shyam Lal Salvi,5374,0.5%,Independent
11,Aslam Shekh Advocate,1794,0.2%,Independent
