"Position","Candidate Name","Votes","Votes %","Party"
1,Kirti Azad,314949,38.0%,Bharatiya Janta Party
2,Md. Ali Ashraf Fatmi,279906,33.8%,Rashtriya Janata Dal
3,Sanjay Kumar Jha,104494,12.6%,Janata Dal (United)
4,Kedar Ku. Keshav,25277,3.1%,Shiv Sena
5,Pravin Kumar Jha,16125,1.9%,Independent
6,Haday Na. Yadav,11606,1.4%,Communist Party Of India (MARXIST)
7,Krishna Kumar Paswan,10080,1.2%,Independent
8,Colonel Lakshmeshwar Mishra,9111,1.1%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
9,Durga Nand Mahavir Nayak,8835,1.1%,Bahujan Samaj Party
10,Dr. Prabhat Ranjan Das,7550,0.9%,Aam Aadmi Party
11,Pradeep Paswan,5963,0.7%,Independent
12,Sadre Alam Khan,4558,0.6%,Akhil Bhartiya Mithila Party
13,Jainath,2956,0.4%,Bahujan Mukti Party
14,Brahmadeo Prasad Karyee,2929,0.4%,Bajjikanchal Vikas Party
15,Faisal Ahmad,2900,0.4%,Janta Dal Rashtravadi
