"Position","Candidate Name","Votes","Votes %","Party"
1,Rajen Gohain,494146,40.2%,Bharatiya Janta Party
2,Jonjonali Baruah,350587,28.5%,Indian National Congress
3,Dr. Aditya Langthasa,314012,25.5%,All India United Democratic Front
4,Mridula Barkakoty,35142,2.9%,Asom Gana Parisad
5,Faruk Hazarika,11325,0.9%,Independent
6,Dipak Kumar Borah,6835,0.6%,All India Trinamool Congress
7,Selima Sultana,6462,0.5%,Independent
8,Rafiqul Islam,2783,0.2%,All India Forward Bloc
