"Position","Candidate Name","Votes","Votes %","Party"
1,Karia Munda,269185,36.5%,Bharatiya Janta Party
2,Anosh Ekka,176937,24.0%,Jharkhand Party
3,Kali Charan Munda,147017,19.9%,Indian National Congress
4,Neil Tirkey,27158,3.7%,Ajsu Party
5,Basant Kumar Longa,24514,3.3%,Jharkhand Vikas Morcha (Prajatantrik)
6,Mahadev Ravinath Pahan,13566,1.8%,Rashtriya Deshaj Party
7,Dayamani Barla,11822,1.6%,Aam Aadmi Party
8,Jaitun Tuti,11364,1.5%,Independent
9,Jitendra Manki Alias Jitendra Prasad Manki,6596,0.9%,Independent
10,Subodh Purty,6407,0.9%,Bahujan Samaj Party
11,Kalyan Nag,4958,0.7%,Independent
12,Buday Munda,4841,0.7%,Akhil Bhartiya Jharkhand Party
13,Nitima Bodra Bari,4425,0.6%,Samajwadi Party
14,Asrita Tuti,4349,0.6%,Independent
