"Position","Candidate Name","Votes","Votes %","Party"
1,Kundariya Mohanbhai Kalyanjibhai,621524,58.8%,Bharatiya Janta Party
2,Kunvarjibhai Mohanbhai Bavaliya,375096,35.5%,Indian National Congress
3,Jivanbhai Devajibhai Parmar,12653,1.2%,Bahujan Samaj Party
4,Ankur Amrutkumar Dhameliya(PATEL),10785,1.0%,Aam Aadmi Party
5,Vinodbhai Pragjibhai Nagani,5752,0.5%,Independent
6,Basirbhai Sulemanbhai Sama,2076,0.2%,Independent
7,Aniruddhsinh Juvansinh Zala,1636,0.2%,Independent
8,Pravinchandra Chunilal Parekh,1562,0.1%,Independent
9,Popatbhai Devajibhai Chavda (BHUVA),1408,0.1%,Independent
10,Rohitbhai Mohanbhai Sagathiya,1344,0.1%,Bahujan Mukti Party
11,Narendrabhai Mahajan,1161,0.1%,Independent
12,Pathan Bismillakhan Abdulkhan (BABAKHAN PATHAN),1080,0.1%,Independent
13,Jitendra Bhurabhai Chauhan,990,0.1%,Republican Party Of India (KHOBRAGADE)
14,Dengada Pravinbhai Meghajibhai,945,0.1%,Republican Party Of India (A)
15,Rajeshbhai Lavjibhai Pipalva,808,0.1%,Loktantrik Rashrtavadi Party
