"Position","Candidate Name","Votes","Votes %","Party"
1,Sumedhanand Saraswati,499428,46.9%,Bharatiya Janta Party
2,Pratap Singh Jat,260232,24.4%,Indian National Congress
3,Subhash Maharia,188841,17.7%,Independent
4,Amara Ram,53134,5.0%,Communist Party Of India (MARXIST)
5,Major Surendra Kumar Punia,15666,1.5%,Aam Aadmi Party
6,Pratap Singh,10666,1.0%,Independent
7,Ajaypal,7036,0.7%,Independent
8,Swami Bhagirath Singh Kharrante Bhadhadar,5387,0.5%,Akhil Bharat Hindu Mahasabha
9,Duli Chand Kumawat,4375,0.4%,Independent
10,Gulam Nabi Azad,4112,0.4%,Bahujan Samaj Party
11,Surendra Kumar Phulwariya,3633,0.3%,Independent
12,Kanhaiya Lal Balai,2169,0.2%,Independent
13,Ramesh Sharma,1635,0.2%,Bhartiya Party
14,Satish Kumar Sharma,1058,0.1%,Jago Party
15,Vimal Indoria,968,0.1%,Jai Maha Bharath Party
