"Position","Candidate Name","Votes","Votes %","Party"
1,Dushyant Singh,676102,59.0%,Bharatiya Janta Party
2,Pramod Bhaya,394556,34.4%,Indian National Congress
3,Chandra Singh,23587,2.1%,Bahujan Samaj Party
4,Javed Khan,13617,1.2%,Bharatiya Yuva Shakti
5,Suleman Puta,11602,1.0%,Independent
6,Baldar,7836,0.7%,Independent
