"Position","Candidate Name","Votes","Votes %","Party"
1,Mahendran.C,417092,41.2%,All India Anna Dravida Munnetra Kazhagam
2,Eswaran.E.R.,276118,27.3%,Bharatiya Janta Party
3,Pongalur Palanisamy.N,251829,24.9%,Dravida Munetra Kazhagam
4,Selvaraj,30014,3.0%,Indian National Congress
5,Mary Stella. M,4942,0.5%,Independent
6,Manoharan.M,3953,0.4%,Bahujan Samaj Party
7,Palanisamy. V,2472,0.2%,Independent
8,Palanisamy. N,2192,0.2%,Independent
9,Ramasamy. K,2071,0.2%,Independent
10,Prabhu. J,1599,0.2%,Independent
11,Kathiresan. L,1523,0.2%,Independent
12,Mahendran. M,1171,0.1%,Independent
13,Rajendran. M,1004,0.1%,Independent
14,Sathish Kumar .L,895,0.1%,Samajwadi Party
15,Easwaran . R,891,0.1%,Independent
16,Deivasigamani.K,834,0.1%,Independent
17,Kathiravan. K,626,0.1%,Independent
18,Karthikeyan. Pon,494,0.0%,Independent
