"Position","Candidate Name","Votes","Votes %","Party"
1,Mullappally Ramachandran,416479,43.4%,Indian National Congress
2,Adv.A.N.Shamseer,413173,43.1%,Communist Party Of India (MARXIST)
3,V.K.Sajeevan,76313,8.0%,Bharatiya Janta Party
4,Adv.P.Kumarankutty,17229,1.8%,Independent
5,P.Abdul Hameed Master,15058,1.6%,Social Democratic Party Of India
6,Ali Akbar,6245,0.7%,Aam Aadmi Party
7,A.P.Shamseer,3485,0.4%,Independent
8,Saseendran,2150,0.2%,Bahujan Samaj Party
9,P.Sharafudeen,1679,0.2%,Independent
10,Attuveppil Kunhikkannan,731,0.1%,Independent
11,A.M.Smitha,693,0.1%,Communist Party Of India (Marxist-Leninist) Red Star
