"Position","Candidate Name","Votes","Votes %","Party"
1,Dhananjay Bhimrao Mahadik,607665,48.2%,Nationalist Congress Party
2,Sanjay Sadashiv Mandalik,574406,45.6%,Shiv Sena
3,Sampatrao Shamrao Pawar Patil,13162,1.0%,Peasants And Workers Party Of India
4,Sandeep Gundopant Sankpal,10963,0.9%,Independent
5,Kurane Ajay Prakash,9291,0.7%,Bahujan Samaj Party
6,Kamble Dayanand Vasant,8635,0.7%,Bahujan Mukti Party
7,Atul Prasannakumar Dighe,7067,0.6%,Bharipa Bahujan Mahasangh
8,Sheregar Chetan Venkatesh,6114,0.5%,Independent
9,Patil Bajrang Krishna,5676,0.5%,Independent
10,Narayan Gundu Powar,5495,0.4%,Aam Aadmi Party
11,Yashwant Balkrushna Joshi,1415,0.1%,Independent
12,Kamble Sukumar Dattu,915,0.1%,Independent
13,Jeevan Alias C.A.Patil,898,0.1%,Independent
14,Pandurang Tukaram Chougale,836,0.1%,Independent
15,Mhamane Anil Subhash,736,0.1%,Independent
