"Position","Candidate Name","Votes","Votes %","Party"
1,Bharat Singh,359758,38.2%,Bharatiya Janta Party
2,Neeraj Shekhar,220324,23.4%,Samajwadi Party
3,Afzal Ansari,163943,17.4%,Quami Ekta Dal
4,Virendra Kumar Pathak,141684,15.0%,Bahujan Samaj Party
5,Sudha Rai,13501,1.4%,Indian National Congress
6,Manoj,6833,0.7%,Independent
7,Ramroop,6435,0.7%,Jai Hind Samaj Party
8,Manish,6166,0.7%,Independent
9,Sheshnath,3674,0.4%,Independent
10,Col(RETD) BHARAT SINGH SHAURYA CHAKRA,3297,0.3%,Aam Aadmi Party
11,Bhola Nath,2815,0.3%,Independent
12,Avadhesh Verma,2529,0.3%,Bahujan Mukti Party
13,Suchit Gond,2506,0.3%,Gondvana Gantantra Party
14,Ramji,1096,0.1%,Bharatiya Samaj Dal
15,Mannu Yadav,980,0.1%,Naitik Party
