"Position","Candidate Name","Votes","Votes %","Party"
1,Ashwini Kumar,594817,49.8%,Bharatiya Janta Party
2,Arvind Kumar Sharma,234670,19.7%,Indian National Congress
3,Jaswinder Singh Sandhu,187902,15.7%,Indian National Lok Dal
4,Maratha Virender Verma,102628,8.6%,Bahujan Samaj Party
5,Paramjit Singh,32060,2.7%,Aam Aadmi Party
6,Mam Chand,10945,0.9%,Communist Party Of India
7,Jagdish,3442,0.3%,Independent
8,Jagbir Singh Rana,2775,0.2%,Independent
9,Mahmood Hassan,2723,0.2%,Independent
10,Pale Ram Kashyap,2654,0.2%,Rashtriya Janshakti Party(Eklavya)
11,Rajesh Kumar,1937,0.2%,Independent
12,Kismat Sharma,1757,0.1%,Independent
13,Shashi Saini,1544,0.1%,Independent
14,Savitri,1468,0.1%,Independent
15,Ashish,1314,0.1%,All India Forward Bloc
16,Mahinder Pal,1276,0.1%,Independent
17,Arvind Tiwari,1260,0.1%,Independent
18,Duli Chand,1144,0.1%,Lok Parivartan Party(DC)
19,Ramphal Sharma,940,0.1%,Independent
20,Khatab Singh Mor,885,0.1%,Bhartiya Shakti Chetna Party
21,Puran Singh Panwar,865,0.1%,Rashtravadi Janata Party
22,Davinder Sharma,806,0.1%,Rashtriya Karmyog Party
23,Devender Jaglan,759,0.1%,Republican Party Of India (A)
