"Position","Candidate Name","Votes","Votes %","Party"
1,Bishnu Pada Ray,90969,47.8%,Bharatiya Janta Party
2,Kuldeep Rai Sharma,83157,43.7%,Indian National Congress
3,Sanjay Meshack,3737,2.0%,Aam Aadmi Party
4,Anita Mondal,2283,1.2%,All India Trinamool Congress
5,K.G.Das,1777,0.9%,Communist Party Of India (MARXIST)
6,Prakash Minj,1587,0.8%,Independent
7,R.S.Uma Bharatthy,1151,0.6%,Nationalist Congress Party
8,Gour Chandra Majumder,1139,0.6%,Bahujan Samaj Party
9,Saravanan,847,0.4%,Independent
10,N K P Nair,436,0.2%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
11,V V Khalid,429,0.2%,Independent
12,Raghubir Singh,379,0.2%,Samajwadi Party
13,C G Saji Kumar,334,0.2%,Independent
14,N Kannan,314,0.2%,Independent
15,A Pandian,225,0.1%,All India Forward Bloc
