"Position","Candidate Name","Votes","Votes %","Party"
1,Raju Shetty,640428,53.9%,Swabhimani Paksha
2,Awade Kallappa Baburao,462618,38.9%,Indian National Congress
3,Sureshdada Patil,25648,2.2%,Independent
4,Kamble Chandrakant Tukaram,11499,1.0%,Bahujan Samaj Party
5,Raghunathdada Patil,9015,0.8%,Aam Aadmi Party
6,Yuvraj Shivaji Kamble,6585,0.6%,Independent
7,Digambar Alias Gabbar Sudam Sakat,5186,0.4%,Bharipa Bahujan Mahasangh
8,Shaikh Shabbir Nabi,4176,0.4%,Maharashtra Parivartan Sena (T)
9,Patil S R Tatya,3318,0.3%,Independent
10,Sushant Santosh Dige,2999,0.3%,Independent
11,Thorat Anandrao Tukaram,2637,0.2%,Independent
12,Mane Arvind Bhiva,2361,0.2%,Independent
13,Kamble Sukumar Dattu,2342,0.2%,Independent
