"Position","Candidate Name","Votes","Votes %","Party"
1,Sidhant Mohapatra,398107,44.0%,Biju Janata Dal
2,Chandra Sekhar Sahu,270387,29.9%,Indian National Congress
3,Rama Chandra Panda,158811,17.5%,Bharatiya Janta Party
4,Ali Kishor Patnaik,35968,4.0%,Communist Party Of India (MARXIST)
5,Dhanada Kanta Mishra,8248,0.9%,Aam Aadmi Party
6,Srihari Patanaik,4081,0.5%,Independent
7,Aswini Kumar Padhy,3865,0.4%,Bahujan Samaj Party
8,A. Raghunath Varma,3719,0.4%,Independent
9,K. Shyambabu Subudhi,3383,0.4%,Independent
10,Manoj Choudhury,3314,0.4%,All India Trinamool Congress
11,Bidhan Chandra Panda,2773,0.3%,Samata Kranti Dal
