"Position","Candidate Name","Votes","Votes %","Party"
1,Fatepara Devajibhai Govindbhai,529003,56.0%,Bharatiya Janta Party
2,Koli Patel Somabhai Gandalal,326096,34.5%,Indian National Congress
3,Sapara Vipulbhai Rameshbhai,14524,1.5%,Independent
4,Jethabhai Manjibhai Patel,13375,1.4%,Aam Aadmi Party
5,Sankaliya Gangarambhai Tapubhai,11208,1.2%,Independent
6,Parmar Minaxiben Vijaybhai,10753,1.1%,Bahujan Samaj Party
7,Vaghela Prakashbhai Bachubhai,6433,0.7%,Independent
8,Vora Bhavanbhai Devajibhai,4821,0.5%,Independent
9,Vadaliya Kalubhai Malubhai,3109,0.3%,Independent
10,Parmar Prabhubhai Gokalbhai,2968,0.3%,Independent
11,Bar Ajamalbhai Karmanbhai,2251,0.2%,Bahujan Mukti Party
12,Mansinh Shivubha Zala,2154,0.2%,Independent
13,Parmar Vasharambhai Bavalbhai,1751,0.2%,Independent
14,Makwana Vasharambhai Karshanbhai,1413,0.1%,Independent
15,Majethiya Samaratbhai Jerambhai,1341,0.1%,Hindustan Janata Party
16,Chavda Palabhai Nanjibhai,1227,0.1%,Independent
17,Makwana Ukabhai Amrabhai,1226,0.1%,Independent
