"Position","Candidate Name","Votes","Votes %","Party"
1,Jyoti Dhurve,643651,61.4%,Bharatiya Janta Party
2,Ajay Shah Makrai,315037,30.1%,Indian National Congress
3,Rajesh Sariyam,20627,2.0%,Aam Aadmi Party
4,Sohan Lal Uikey,16461,1.6%,Bahujan Samaj Party
5,Bhupendra Singh Uikey,12933,1.2%,Independent
6,Fagram,4668,0.4%,Samajwadi Jan Parishad
7,Kallushing Kumre,4546,0.4%,Gondvana Gantantra Party
8,Gabbar Sinh Warkade,3070,0.3%,Bahujan Mukti Party
