"Position","Candidate Name","Votes","Votes %","Party"
1,L.K.Advani,773539,68.1%,Bharatiya Janta Party
2,Kiritbhai Ishvarbhai Patel,290418,25.6%,Indian National Congress
3,Rituraj Mehta,19966,1.8%,Aam Aadmi Party
4,Rahul Chimanbhai Mehta,9767,0.9%,Independent
5,Vaghela Kishorsinh Mahobatsinh,6705,0.6%,Independent
6,Niranjan Ghosh,6068,0.5%,Bahujan Samaj Party
7,M. K. Shah,3767,0.3%,Independent
8,Raj Prajapati,3177,0.3%,Independent
9,Ajmalbhai Ramabhai Vaniya,1639,0.1%,Bahujan Mukti Party
10,Brahmbhatt Sanjaybhai Amarkumar,1474,0.1%,Independent
11,Birjusinh Motisinh Kshatriya,984,0.1%,Independent
12,Pagi Ganpatbhai Mavjibhai,924,0.1%,Independent
13,Thakor Ravaji Juhaji,809,0.1%,Vishva Hindustani Sangathan
14,Desai Khodabhai Laljibhai,793,0.1%,Independent
15,Dipikaben Sutariya,684,0.1%,Independent
16,Manoj J. Nayak,683,0.1%,Loktantrik Rashrtavadi Party
17,Thakor Chandrasinh Javansinh,668,0.1%,Independent
18,Patel Piyushkumar Dashrathlal,653,0.1%,National Youth Party
