"Position","Candidate Name","Votes","Votes %","Party"
1,Kapil Krishna Thakur,551213,42.9%,All India Trinamool Congress
2,Debesh Das,404612,31.5%,Communist Party Of India (MARXIST)
3,K.D. Biswas,244783,19.1%,Bharatiya Janta Party
4,Ila Mondal,43866,3.4%,Indian National Congress
5,Chandan Mallick,9207,0.7%,Bahujan Samaj Party
6,Pranita Mandal,8738,0.7%,Independent
7,Swapan Mondal,3589,0.3%,Socialist Unity Centre Of India (COMMUNIST)
8,Tarapada Biswas,2848,0.2%,Amra Bangalee
9,Shyam Prasad Mondal,2624,0.2%,Party For Democratic Socialism
10,Sarat Chandra Mandal,1172,0.1%,Rashtriya Ahinsa Manch
11,Pinaki Ranjan Bharati,1071,0.1%,The Religion Of Man Revolving Political Party Of India
