"Position","Candidate Name","Votes","Votes %","Party"
1,Chauhan Prabhatsinh Pratapsinh,508274,54.5%,Bharatiya Janta Party
2,Ramsinh Parmar,337678,36.2%,Indian National Congress
3,Giri Ramchandra Vaijnath,15956,1.7%,Bahujan Samaj Party
4,Vankar Manilal Bhanabhai,11375,1.2%,Independent
5,Mansuri Mukhatyar Mohammad (PANTER M. LALA),10857,1.2%,Independent
6,Piyushkumar Dilipbhai Parmar,6935,0.7%,Aam Aadmi Party
7,Patel Pankajbhai Ravjibhai,5426,0.6%,Independent
8,Chavada Harishchandrasinh Prabhatsinh,3751,0.4%,Independent
9,S. N. Chavada (CHAVADA VAKIL),2401,0.3%,Independent
10,Shaikh Kalim Abdullatif,1993,0.2%,Samajwadi Party
11,Gora Shoeb Mohmadhanif,1497,0.2%,Independent
12,Shaikh Majitmiya Jivamiya,1337,0.1%,Janata Dal (United)
