"Position","Candidate Name","Votes","Votes %","Party"
1,Rama Devi,372506,44.2%,Bharatiya Janta Party
2,Md Anwarul Haque,236267,28.0%,Rashtriya Janata Dal
3,Shahid Ali Khan,79108,9.4%,Janata Dal (United)
4,Lovely Anand,46008,5.5%,Samajwadi Party
5,Angesh Kumar,26446,3.1%,Bahujan Samaj Party
6,Laxman Paswan,18681,2.2%,Jharkhand Mukti Morcha
7,Shivanandan Prasad,12161,1.4%,Independent
8,Shatrughna Sahu,8256,1.0%,Aam Aadmi Party
9,Sanjay Prasad,8245,1.0%,Independent
10,Ramashish Mahto,5941,0.7%,Independent
11,Jata Shankar Aatrey,4641,0.6%,Rajnaitik Vikalp Party
12,Jagranath Sahani,4399,0.5%,Sarvajan Kalyan Loktantrik Party
13,Md Nasruddin Ansari,3072,0.4%,National Lokmat Party
14,Ramashankar Singh,2845,0.3%,All India Forward Bloc
15,Ram Lobhit Paswan,2648,0.3%,Bahujan Mukti Party
