"Position","Candidate Name","Votes","Votes %","Party"
1,Anurag Singh Thakur,448035,53.6%,Bharatiya Janta Party
2,Rajinder Singh Rana,349632,41.9%,Indian National Congress
3,Kamal Kanta Batra,15329,1.8%,Aam Aadmi Party
4,Rakesh Choudhary,5827,0.7%,Bahujan Samaj Party
5,Rajinder Singh Rana,3687,0.4%,Independent
6,Urmila Sharma,2328,0.3%,Samajwadi Party
7,Dev Raj Bhardwaj,1692,0.2%,Independent
8,Shiv Dutt Vasisht,952,0.1%,Shiv Sena
9,Amin Chand,647,0.1%,Independent
10,Ashish Kumar,603,0.1%,Independent
