"Position","Candidate Name","Votes","Votes %","Party"
1,Upendra Kushwaha,338892,42.9%,Rashtriya Lok Samta Party
2,Kanti Singh,233651,29.6%,Rashtriya Janata Dal
3,Mahabali Singh,76709,9.7%,Janata Dal (United)
4,Sanjay Kewat,45503,5.8%,Bahujan Samaj Party
5,Raja Ram Singh,32686,4.1%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
6,Satya Narayan Singh,9919,1.3%,Independent
7,Pradeep Kumar Joshi,6994,0.9%,Rashtra Sewa Dal
8,Bhairaw Dayal Singh,6974,0.9%,Independent
9,Ghulam Kundanam,6938,0.9%,Aam Aadmi Party
10,Ram Dayal Singh,5459,0.7%,Independent
11,Rajani Dubey,4795,0.6%,Akhil Bharatiya Jan Sangh
12,Veena Bharti,4002,0.5%,Janvadi Party(Socialist)
13,Md. Dilbas Ansari,2813,0.4%,Independent
14,Dinesh Kumar,2359,0.3%,Bahujan Mukti Party
15,Imran Ali,2048,0.3%,Independent
