"Position","Candidate Name","Votes","Votes %","Party"
1,Munde Gopinathrao Pandurang,635995,51.6%,Bharatiya Janta Party
2,Dhas Suresh Ramchandra,499541,40.5%,Nationalist Congress Party
3,Rothod Digambar Ramrao,14166,1.1%,Bahujan Samaj Party
4,Solanke Prkash Bhagwanrao,8634,0.7%,Independent
5,Ashok Dhondiba Sonwane,5383,0.4%,Independent
6,Tejas Ankush Ghumare,5357,0.4%,Independent
7,Nadu Madhav,4283,0.3%,Aam Aadmi Party
8,Arjun Hanmanta Nimbalkar,3758,0.3%,Independent
9,Sayyed Navidujjamma,3732,0.3%,Independent
10,Sayyed Minhaj Ali Sayyad Wajed Ali (PENDKHAJURWALE),3617,0.3%,Independent
11,Ashok Bhagoji Thorat,3264,0.3%,Independent
12,Aghav Jayprakash Sitaram,3247,0.3%,Independent
13,Kale Krishna Bhanudas,3163,0.3%,Bharipa Bahujan Mahasangh
14,Inamdar Jabbermiya Dagerasa,3040,0.2%,Independent
15,Avinash Namdev Wankhede,2797,0.2%,Independent
16,Bhagwat Harihar Taware,2698,0.2%,Independent
17,Sadulla Asdulla Inamdar,2482,0.2%,Independent
18,Dongare Milind Kashinath,1930,0.2%,Prabuddha Republican Party
19,Shaikh Chand Shiakh Miya,1734,0.1%,Independent
20,Rahul Prabhakar Kamble,1733,0.1%,Ambedkarite Party Of India
21,Shaikh Iptekhar Zakeebaba,1628,0.1%,Welfare Party Of India
22,Manikrao Madhavrao Bavne,1584,0.1%,Samajwadi Party
23,Saksamudre Bhagwan Kachruba,1533,0.1%,Bahujan Mukti Party
24,Jethlia Santoshbapu Mitthulal,1270,0.1%,Independent
25,Hoke (PATIL)RAJEDRA ACHYUTRAO,1264,0.1%,Independent
26,Tate Ashok Santram,1162,0.1%,Ambedkarist Republican Party
27,Sayyed Mubin Rahimtulla,1122,0.1%,Independent
28,Dr. Owhal Jitendra Mahadev,1075,0.1%,Independent
29,Thorat Dhanraj Vitthal,1065,0.1%,Maharashtra Parivartan Sena (T)
30,Prashant Vishnu Sasane,1036,0.1%,Independent
31,Kale Bajirao Shankar,1018,0.1%,Independent
32,Shingare Govind Bharat,944,0.1%,Shivrajya Party
33,Shrikant Vishnu Gadale,931,0.1%,Independent
34,Gangadhar Sitaram Kalkute,848,0.1%,Independent
35,Shaikh Shafiq Shabbir,846,0.1%,Independent
36,Veer Shesherao Chokhoba,713,0.1%,Independent
37,Solanke Parmeshwar Kalyanrao,520,0.0%,Independent
38,Sayyed Salim Fattu,452,0.0%,Independent
39,Sumitrabai Dashrath Pawar,314,0.0%,Independent
