"Position","Candidate Name","Votes","Votes %","Party"
1,Ramesh Chander,347203,35.2%,Bharatiya Janta Party
2,Jagbir Singh Malik,269789,27.4%,Indian National Congress
3,Padam Singh,264404,26.8%,Indian National Lok Dal
4,Jai Singh,48597,4.9%,Aam Aadmi Party
5,Suman Singh,24103,2.4%,Bahujan Samaj Party
6,Sukhbir Singh,5533,0.6%,Independent
7,Ramesh,4405,0.4%,Independent
8,Sanjay,3950,0.4%,Independent
9,Bhupeshwar Dayal,2525,0.3%,Independent
10,Manoj Kumar,2417,0.2%,Independent
11,Hari Parkash Comrade,1757,0.2%,Socialist Unity Centre Of India (COMMUNIST)
12,Padam Singh,1375,0.1%,Independent
13,Bijender Kumar,965,0.1%,Independent
14,Sant Dharamvir Chotiwala,943,0.1%,Independent
15,Gulab Singh,916,0.1%,Poorvanchal Rashtriya Congress
16,Sitender Singh,899,0.1%,Independent
17,Dalbir Singh Chahal,671,0.1%,Rashtravadi Janata Party
18,Jaswant,656,0.1%,Independent
19,Satya Narayan,550,0.1%,Independent
20,Ashok Kumar Vashishth,492,0.0%,Republican Party Of India (A)
21,Anil Kumar,468,0.0%,Rashtriya Bahujan Hitay Party
22,Jagbir,357,0.0%,Independent
23,Anup Sing Dahiya,259,0.0%,Rashtriya Jatigat Aarakshan Virodhi Party
