"Position","Candidate Name","Votes","Votes %","Party"
1,Anto Antony,358842,41.3%,Indian National Congress
2,Adv. Peelipose Thomas,302651,34.8%,Independent
3,M T Remesh,138954,16.0%,Bharatiya Janta Party
4,Peelipose,16493,1.9%,Independent
5,Mansoor Thengana,11353,1.3%,Social Democratic Party Of India
6,Seleena Prakkanam,10384,1.2%,Bahujan Samaj Party
7,Santhosh Kumar,4847,0.6%,Independent
8,S Radhamani,2901,0.3%,Socialist Unity Centre Of India (COMMUNIST)
9,Aleyamma Varghese,1236,0.1%,All India Trinamool Congress
10,S Radhakrishnan,1021,0.1%,Independent
11,Shilvin Kottackakathu,1005,0.1%,Independent
12,Pushpangathan,953,0.1%,Independent
13,Ajith Kumar K. K,748,0.1%,Independent
14,Sabukutty Joy (SABU PUTHUCHIRA),682,0.1%,Social Action Party
15,Lalitha Malayalappuzha,460,0.1%,Independent
16,Mathew Parey,384,0.0%,Independent
