"Position","Candidate Name","Votes","Votes %","Party"
1,Ashok Shankarrao Chavan,493075,48.7%,Indian National Congress
2,D. B. Patil,411620,40.6%,Bharatiya Janta Party
3,Rajratna Ambedkar,28447,2.8%,Bahujan Mukti Party
4,Dr. Hansraj Dadaraoji Vaidya,22809,2.3%,Bahujan Samaj Party
5,Feroz Khan Gazi,8088,0.8%,Independent
6,Panjabrao Shrihari Wadje Patil,5825,0.6%,Independent
7,Bochare Shankar Mahadji,5694,0.6%,Independent
8,Mohd. Maroof Ab. Rauf,4771,0.5%,Independent
9,Ramchandra Gyanoba Sawant,4206,0.4%,Bharipa Bahujan Mahasangh
10,Granthi Narendrasingh Anmolsingh,3397,0.3%,Aam Aadmi Party
11,Ramchandra Gangaram Bharande,3067,0.3%,Independent
12,Dattaram Balaji Surwanshi,2882,0.3%,Independent
13,Pathan Zafar Alikhan Mehmood Alikhan,1993,0.2%,Independent
14,Ghunnar Prakash Vithalrao,1753,0.2%,Independent
15,Shinde Balaji Vishwanathrao,1724,0.2%,Samajwadi Party
16,Sontakke Laxman Kishan,1667,0.2%,Independent
17,Altaf Ahmed Iqbal Ahmed,1547,0.2%,Indian Union Muslim League
18,Hanmante Vijay Chandrao,1479,0.1%,Independent
19,Adv. Dhondopant Nagorao Hanumante,1473,0.1%,Independent
20,Sayyed Tanveer Sayyadhamaja,1288,0.1%,Majlis Bachao Tahreek
21,Adv. Deelip Prabhakarrao Kulkarni (PHULWALKAR),1285,0.1%,Independent
22,Shaikh Afzaluddin Azeemuddin,1065,0.1%,Lok Bharati
23,Venugopal Shastri Tumuluri S/o Ramkrishna,1040,0.1%,Independent
