"Position","Candidate Name","Votes","Votes %","Party"
1,Chand Nath,642278,60.5%,Bharatiya Janta Party
2,Bhanwar Jitendra Singh,358383,33.7%,Indian National Congress
3,Azad Husain,19483,1.8%,Bahujan Samaj Party
4,Dr Virendra Vidrohi,8517,0.8%,Aam Aadmi Party
5,Hari Singh Sharma,3672,0.3%,Independent
6,Dr. Dashrath Kumar Hinunia,3612,0.3%,Ambedkarite Party Of India
7,Hariprasad,3580,0.3%,Independent
8,Arun Kumar Roopak,3412,0.3%,Naya Daur Party
9,Jagdish Prasad Bairwa,3390,0.3%,Independent
10,Kishan Lal,2572,0.2%,Independent
11,Murshid Ahmed,2160,0.2%,All India Trinamool Congress
12,Suresh Sharma,2104,0.2%,Jago Party
13,Virjanand,1845,0.2%,Samajwadi Party
14,Ramesh Panval,1227,0.1%,Independent
15,Khaim Chand,1187,0.1%,Bharatiya Yuva Shakti
16,Khoobraj Neeraj,702,0.1%,Bahujan Mukti Party
17,Chaudhary Nasrudeen Tanwar,662,0.1%,Socialist Party (India)
18,Manguram Sain,566,0.1%,Akhil Bharatiya Congress Dal (Ambedkar)
19,Nishar Ahmed,441,0.0%,Jai Maha Bharath Party
