"Position","Candidate Name","Votes","Votes %","Party"
1,P Karunakaran,384964,39.5%,Communist Party Of India (MARXIST)
2,Adv. T Siddique,378043,38.8%,Indian National Congress
3,K Surendran,172826,17.7%,Bharatiya Janta Party
4,Abdul Salam N U,9713,1.0%,Social Democratic Party Of India
5,Ambalathara Kunhikrishnan,4996,0.5%,Aam Aadmi Party
6,Manoharan K,4194,0.4%,Independent
7,Adv. Basheer Alady,3104,0.3%,Bahujan Samaj Party
8,K K Ashokan,3057,0.3%,Independent
9,Gothra Moopan Nellikadan Kannan,2655,0.3%,Independent
10,P K Raman,1222,0.1%,Independent
11,Karunakaran Paingappadan,1002,0.1%,Independent
12,Aboobacker Siddiq,880,0.1%,Independent
13,Karunakaran Kalippurayil,824,0.1%,Independent
14,Abbas Mothalappara,632,0.1%,All India Trinamool Congress
