"Position","Candidate Name","Votes","Votes %","Party"
1,Santokh Singh Chaudhary,380479,36.6%,Indian National Congress
2,Pawan Kumar Tinu,309498,29.7%,Shiromani Akali Dal
3,Jyoti Mann,254121,24.4%,Aam Aadmi Party
4,Sukhwinder Singh Kotli,46914,4.5%,Bahujan Samaj Party
5,Darshan Nahar,10074,1.0%,Independent
6,Tarsem Peter,6249,0.6%,Independent
7,Subhash Goria,3497,0.3%,Shiv Sena
8,Love Kishor,3265,0.3%,Independent
9,Dharminder,2459,0.2%,Independent
10,Tara Singh Gill,2268,0.2%,Bahujan Samaj Party (AMBEDKAR)
11,Nirmal Singh Bolina,2256,0.2%,Independent
12,Manjeet Kaur W/o Sukhdev Singh,1952,0.2%,Independent
13,Vijay Kumar,1528,0.1%,Independent
14,K.K. Sabharwal,1454,0.1%,Independent
15,Vijay Hans,1192,0.1%,Democratic Bharatiya Samaj Party
16,Jarnail Singh,1178,0.1%,Bharti Jan Suraksha Party
17,Jagan Nath Bajwa,1083,0.1%,Independent
18,Manjit Kaur W/o Sukhwinder Singh,1044,0.1%,Independent
19,Kuldip Kumar,953,0.1%,Independent
20,Kamal Thapar,933,0.1%,Independent
21,Amit Jassi,779,0.1%,Independent
22,Vivek,741,0.1%,Independent
23,Paramjit Kumar,717,0.1%,Bahujan Mukti Party
24,Ajay Kumar Bhagat,692,0.1%,Independent
