"Position","Candidate Name","Votes","Votes %","Party"
1,Vasava Parbhubhai Nagarbhai,622769,51.6%,Bharatiya Janta Party
2,Chaudhari Tusharbhai Amarsinhbhai,498885,41.4%,Indian National Congress
3,Chaudhari Revaben Shankarbhai,13270,1.1%,Communist Party Of India
4,Gamit Movaliyabhai Nopariyabhai,11625,1.0%,Bahujan Samaj Party
5,Chaudhari Chandubhai Machalabhai,10842,0.9%,Aam Aadmi Party
6,Rathod Rameshbhai Bhikhabhai,8607,0.7%,Independent
7,Jagatsinh Laljibhai Vasava,7321,0.6%,Janata Dal (United)
8,Gamit Surendrabhai Simabhai,5351,0.4%,Independent
9,Bhailalbhai Chhanabhai Rathod,5334,0.4%,Aadivasi Sena Party
10,Chaudhari Reniyabhai Shankarbhai,2184,0.2%,Hindusthan Nirman Dal
