"Position","Candidate Name","Votes","Votes %","Party"
1,Gajendrasingh Shekhawat,713515,66.2%,Bharatiya Janta Party
2,Chandresh Kumari,303464,28.1%,Indian National Congress
3,Goparam Meghwal,13511,1.3%,Bahujan Samaj Party
4,Vigyan Modi,8552,0.8%,Aam Aadmi Party
5,Dhanraj Gehlot,7104,0.7%,Jai Maha Bharath Party
6,Rugha Ram Choudhary Advocate,4855,0.5%,Independent
7,Sohan Lal Goyal,3764,0.3%,Independent
8,Mehmooda Begam Abbasi,2631,0.2%,Independent
9,Ram Dayal,2321,0.2%,Independent
10,Ravi Garg,1206,0.1%,Bharat Nav Nirman Party
11,Dungar Mal Puniya,1041,0.1%,Independent
12,Jetharam Meghwal,831,0.1%,Independent
13,Jayda,718,0.1%,Independent
