"Position","Candidate Name","Votes","Votes %","Party"
1,Sunil Kumar Mondal,574660,43.5%,All India Trinamool Congress
2,Iswar Chandra Das,460181,34.8%,Communist Party Of India (MARXIST)
3,Santosh Roy,170828,12.9%,Bharatiya Janta Party
4,Chandana Majhi,68884,5.2%,Indian National Congress
5,Swapan Malik,9666,0.7%,Jharkhand Mukti Morcha
6,Kalicharan Sardar,7981,0.6%,Socialist Unity Centre Of India (COMMUNIST)
7,Pejush Kumar Sahana,5919,0.4%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
8,Mukul Biswas,5442,0.4%,Bahujan Samaj Party
9,Prosanta Bag,3410,0.3%,Jharkhand Disom Party
