"Position","Candidate Name","Votes","Votes %","Party"
1,Dr.A .Sampath,392478,45.7%,Communist Party Of India (MARXIST)
2,Adv.Bindhu Krishna,323100,37.6%,Indian National Congress
3,Girija Kumari.S,90528,10.5%,Bharatiya Janta Party
4,Sri.M.K.Manoj Kumar,11225,1.3%,Social Democratic Party Of India
5,Anil Kumar N S,8586,1.0%,Bahujan Samaj Party
6,Sri. Vakkom G Ajith,5511,0.6%,Shiv Sena
7,Smt. Priya Sunil,4862,0.6%,Welfare Party Of India
8,Sri. Hariharan K S,4064,0.5%,Independent
9,Sunilkrishnan,3850,0.4%,Independent
10,Das K Varkala,2375,0.3%,Independent
11,Sri.Sambath Anilkumar,2221,0.3%,Independent
12,Sri.Irinchayam Suresh,1052,0.1%,Independent
13,Sri. Adv. Chirayinkeezhu Gopinathan,736,0.1%,Republican Party Of India (A)
14,Sri.Sureshkumar Thonnakkal,647,0.1%,Independent
15,Sri. Vivekanandan,615,0.1%,Independent
16,Sri .Adv.M. R.Sarin,576,0.1%,Janata Dal (United)
