"Position","Candidate Name","Votes","Votes %","Party"
1,Jose K. Mani,424194,51.0%,Kerala Congress(M)
2,Adv.Mathew T. Thomas,303595,36.5%,Janata Dal (Secular)
3,Adv.Noble Mathew,44357,5.3%,Independent
4,Adv.Anil Aikkara,26381,3.2%,Aam Aadmi Party
5,Sreeni K. Jacob,6732,0.8%,Bahujan Samaj Party
6,Roy Arackal,3513,0.4%,Social Democratic Party Of India
7,N.K.Biju,2879,0.3%,Socialist Unity Centre Of India (COMMUNIST)
8,Ratheesh Perumal,2157,0.3%,Independent
9,James Joseph,1831,0.2%,Independent
10,Sasikkuttan Vakathanam,1048,0.1%,Communist Party Of India (Marxist-Leninist) Red Star
11,Praveen K. Mohan,925,0.1%,Independent
