"Position","Candidate Name","Votes","Votes %","Party"
1,Captain Amarinder Singh,482876,47.9%,Indian National Congress
2,Arun Jaitley,380106,37.7%,Bharatiya Janta Party
3,Dr. Daljit Singh,82633,8.2%,Aam Aadmi Party
4,Amarjit Singh Asal,12902,1.3%,Communist Party Of India
5,Arun Kumar Joshi,9023,0.9%,Independent
6,Pardeep Singh Walia,5870,0.6%,Bahujan Samaj Party
7,Rattan Singh Randhawa,4350,0.4%,Independent
8,Gagandeep Kumar,3294,0.3%,Independent
9,Dr. Inderpal,3083,0.3%,Independent
10,Bal Krishan Sharma,2878,0.3%,Independent
11,Sham Lal Gandhiwadi,2691,0.3%,Independent
12,Surinder Kumar Khosla,2396,0.2%,Independent
13,Bhagwant Singh,2303,0.2%,Independent
14,Kanwaljit Singh Sahota,2123,0.2%,Independent
15,Rehmat Masih,1214,0.1%,Independent
16,Amarinder Singh,1151,0.1%,Independent
17,Mohinder Singh,1140,0.1%,Independent
18,Buta Singh,941,0.1%,Bahujan Samaj Party (AMBEDKAR)
19,Yusaf Mohammad,922,0.1%,Samajwadi Party
20,Surinder Singh,833,0.1%,Democratic Congress Party
21,Balbir Singh,827,0.1%,Bharatiya Gaon Taj Dal
22,Gurdial Singh Gill,604,0.1%,Democratic Bharatiya Samaj Party
23,Krishan Sharma,503,0.0%,Nav Bharat Democratic Party
