"Position","Candidate Name","Votes","Votes %","Party"
1,Karadi Sanganna Amarappa,486383,48.3%,Bharatiya Janta Party
2,Basavaraj Hitnal,453969,45.1%,Indian National Congress
3,Syed Arif,9529,0.9%,Bahujan Samaj Party
4,Suresh,8292,0.8%,Independent
5,V. Govinda,6300,0.6%,Independent
6,B.Manohara Hanumantappa,4433,0.4%,Independent
7,Shivakumar Navalisiddappa Tontapur,3425,0.3%,Aam Aadmi Party
8,Nagappa. G. Karatagi,2894,0.3%,Independent
9,Govindhareddy Pacharalli,2839,0.3%,Independent
10,Com I:- D H Pujar,2636,0.3%,Communist Party Of India (Marxist-Leninist) Red Star
11,Thimmappa Uppar,2459,0.2%,Bharatiya Dr. B.R.Ambedkar Janta Party
12,K. M. Ranganathreddy,2305,0.2%,Samajwadi Party
13,Nazeer Hussain,2129,0.2%,Rashtriya Krantikari Samajwadi Party
14,Bharadwhaja,2089,0.2%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
15,Anojirao G,2012,0.2%,Independent
16,Ramesh Koti,1867,0.2%,Republican Party Of India (A)
