"Position","Candidate Name","Votes","Votes %","Party"
1,Hukum Singh,565909,50.6%,Bharatiya Janta Party
2,Nahid Hasan,329081,29.4%,Samajwadi Party
3,Kanwar Hasan,160414,14.3%,Bahujan Samaj Party
4,Kartar Singh Bhadana,42706,3.8%,Rashtriya Lok Dal
5,Divakar Kashyap,6562,0.6%,All India Trinamool Congress
6,Krishanpal,2971,0.3%,Independent
7,Sunil Kumar Kasana,2663,0.2%,Aam Aadmi Party
8,Mohanlal,1741,0.2%,Independent
9,Ramkaran Kashyap,1378,0.1%,Bhartiya Vanchitsamaj Party
10,Pardip,1050,0.1%,Bahujan Mukti Party
11,Sunita,946,0.1%,Janata Dal (United)
