"Position","Candidate Name","Votes","Votes %","Party"
1,Rajesh Kumar Diwaker,544277,51.9%,Bharatiya Janta Party
2,Manoj Kumar Soni,217891,20.8%,Bahujan Samaj Party
3,Ramji Lal Suman,180891,17.2%,Samajwadi Party
4,Niranjan Singh Dhangar,86109,8.2%,Rashtriya Lok Dal
5,Sunhari Lal,5043,0.5%,Aam Aadmi Party
6,Niranjan Singh,2847,0.3%,Independent
7,Omprkash,2778,0.3%,Independent
8,Raja Ram,2169,0.2%,Independent
9,Dalvir Singh,1599,0.2%,Independent
