"Position","Candidate Name","Votes","Votes %","Party"
1,Shailesh Kumar Urph Bulo Mandal,367623,37.7%,Rashtriya Janata Dal
2,Syed Shahnawaz Hussain,358138,36.8%,Bharatiya Janta Party
3,Abu Qaiser,132256,13.6%,Janata Dal (United)
4,Ramjee Mandal,18937,1.9%,Independent
5,Indradeo Kumar Singh,12710,1.3%,Independent
6,Naushaba Khanam,11265,1.2%,Bahujan Samaj Party
7,Mahadeo Kumar,9295,1.0%,Independent
8,Kumkum Singh,8025,0.8%,Bharat Vikas Morcha
9,Sikandar Tanti,7122,0.7%,Independent
10,Prof. Yogendra Mahto,5830,0.6%,Aam Aadmi Party
11,Rinki Kumari,5778,0.6%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
12,Ranjan Kumar,5165,0.5%,Independent
13,Anand Kumar Jain,4734,0.5%,Independent
14,Suman Kumar,3444,0.4%,Independent
15,Gaurav Kumar Ghosh,3251,0.3%,National Tiger Party
16,Nishi Kant Mandal,3147,0.3%,Bahujan Mukti Party
17,Viren Das,3005,0.3%,Sankhyanupati Bhagidari Party
18,Purosottam Choubey,2416,0.2%,Samajwadi Party
