"Position","Candidate Name","Votes","Votes %","Party"
1,Kunwar Pushpendra Singh Chandel,453884,46.5%,Bharatiya Janta Party
2,Bishambhar Prasad Nishad,187096,19.2%,Samajwadi Party
3,Rakesh Kumar Goswami,176356,18.1%,Bahujan Samaj Party
4,Pritam Singh Lodhi Kisaan,78229,8.0%,Indian National Congress
5,Vimlesh,23137,2.4%,Independent
6,Atul Kumar Prajapati,9663,1.0%,Aam Aadmi Party
7,Avinash Kumar Mishra,6297,0.6%,All India Trinamool Congress
8,Vivek Kumar,5749,0.6%,Rashtriya Krantikari Samajwadi Party
9,Anil Kumar,4860,0.5%,Ambedkar Samaj Party
10,Pravesh Kumar Vyas,4314,0.4%,Independent
11,Kiran,4079,0.4%,Independent
12,Shripal,3435,0.4%,Bundelkhand Congress
13,Ramesh Prajapati,2981,0.3%,Most Backward Classes Of India
14,Ramsajivan,2955,0.3%,Bhartiya Shakti Chetna Party
15,Kailash Prasad Nishad,1756,0.2%,Eklavya Samaj Party
