"Position","Candidate Name","Votes","Votes %","Party"
1,Dalpat Singh Paraste,525419,54.2%,Bharatiya Janta Party
2,Rajes Nandini Singh,284118,29.3%,Indian National Congress
3,Parmeshwar Singh,27619,2.9%,Communist Party Of India
4,Ramratan Singh Pawley,20834,2.2%,Gondvana Gantantra Party
5,Er. Vijay Kumar Kol,20312,2.1%,Aam Aadmi Party
6,Phool Singh Paraste,19409,2.0%,Bahujan Samaj Party
7,Lala Kol,8288,0.9%,Independent
8,Mahaveer Parshad Manjhi,7507,0.8%,Independent
9,Jogendra Singh,7151,0.7%,Bahujan Mukti Party
10,Raju Baiga,6647,0.7%,Independent
11,Yogesh Kumar Singh Ad.,5580,0.6%,Samajwadi Party
12,Ram Gopal Singh,5320,0.5%,Bhartiya Shakti Chetna Party
13,Sahdev Singh Paraste,5089,0.5%,National People's Party
14,Ram Singh,3849,0.4%,Chhattisgarh Swabhiman Manch
