"Position","Candidate Name","Votes","Votes %","Party"
1,Senthilnathan Pr,475993,46.3%,All India Anna Dravida Munnetra Kazhagam
2,Dhurai Raaj Subha,246608,24.0%,Dravida Munetra Kazhagam
3,Raja H,133763,13.0%,Bharatiya Janta Party
4,Karti P Chidambaram,104678,10.2%,Indian National Congress
5,Krishnan S,20473,2.0%,Communist Party Of India
6,Rajasekar.S @ S.R.Thevar,4029,0.4%,Desiya Forward Bloc
7,Rakkamuthu V,3056,0.3%,Bahujan Samaj Party
8,Velladhurai A,3023,0.3%,Ezhuchi Tamilargal Munnetra Kazhagam
9,Arimazham Thiyagi Subramanian Muthuraja M,3021,0.3%,Independent
10,Nelson A,2987,0.3%,Independent
11,Balu S,2196,0.2%,Tamil Nadu Makkal Congress
12,Thamilarima S,2131,0.2%,Aam Aadmi Party
13,Saravanan M,2100,0.2%,Independent
14,Selvaraj A,2050,0.2%,Independent
15,Palani S,1699,0.2%,Independent
16,Kalaimani K,1438,0.1%,Makkal Manadu Katchi
17,Raja A,1337,0.1%,Independent
18,Gunasekaran P,1269,0.1%,Independent
19,Sivagnanam Al,1007,0.1%,Independent
20,Balakrishnan P,949,0.1%,Independent
21,Karthikarajan T,873,0.1%,Independent
22,Periyakaruppan S,837,0.1%,Independent
23,Natchiappan Sp,794,0.1%,Independent
24,Lenin M,741,0.1%,Independent
25,Murugan P,736,0.1%,Independent
26,Radhakrishnan A,641,0.1%,Independent
27,Megaraj Mallar,565,0.1%,Independent
