"Position","Candidate Name","Votes","Votes %","Party"
1,Adityanath,539127,51.8%,Bharatiya Janta Party
2,Rajmati Nishad,226344,21.8%,Samajwadi Party
3,Ram Bhual Nishad,176412,17.0%,Bahujan Samaj Party
4,Astbhuja Prasad Tripathi,45719,4.4%,Indian National Congress
5,Radhe Mohan Misra,11873,1.1%,Aam Aadmi Party
6,Achhe Lal Gupta,5339,0.5%,Independent
7,Faiz Ahamad Faizi,5046,0.5%,Peace Party
8,Ramkishun,4387,0.4%,Independent
9,Ashok,4194,0.4%,Independent
10,Munna,4024,0.4%,Swarajya Party Of India
11,Indra Deo Yadava,2398,0.2%,Bhartiya Shakti Chetna Party
12,Subash Kumar Maurya,2123,0.2%,Rashtriya Janwadi Party (Krantikari)
13,Mohd. Waseem Khan,2016,0.2%,Bahujan Mukti Party
14,Rajesh,1873,0.2%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
15,Rajit Mishra,1171,0.1%,Naitik Party
