"Position","Candidate Name","Votes","Votes %","Party"
1,Anbumani Ramadoss,468194,42.5%,Pattali Makkal Katchi
2,Mohan.P.S,391048,35.5%,All India Anna Dravida Munnetra Kazhagam
3,Thamaraiselvan.R,180297,16.4%,Dravida Munetra Kazhagam
4,Rama Suganthan,15455,1.4%,Indian National Congress
5,Rajinikanth.S,8180,0.7%,Bahujan Samaj Party
6,Padmarajan.K.Dr,4934,0.4%,Independent
7,Anguraj.P,3905,0.4%,Independent
8,Savithiri.K,3164,0.3%,Ulzaipali Makkal Katchy
9,Arivazhagan.P,2802,0.3%,Independent
10,Kumaran.V,2413,0.2%,Independent
11,Natarajan.R,2199,0.2%,Independent
12,Anandkumar.K,1978,0.2%,Independent
13,Arivudainambi.M,1403,0.1%,Independent
14,Anbumani.G,1370,0.1%,Independent
15,Sambath.M,1310,0.1%,Independent
