"Position","Candidate Name","Votes","Votes %","Party"
1,Mekapati Rajamohan Reddy,576396,48.5%,Yuvajana Sramika Rythu Congress Party
2,Adala Prabhakara Reddy,562918,47.4%,Telugu Desam
3,Narayana Reddy Vakati,22870,1.9%,Indian National Congress
4,Syed Haneef,5578,0.5%,Jai Samaikyandhra Party
5,Chandra Sekhar Yadav,4112,0.3%,Rajyadhikara Party
6,Pattapu Ravi,3299,0.3%,Bahujan Samaj Party
7,Chemikala Tirupati,1424,0.1%,Andhra Rastra Praja Samithi
8,Kolati Gopinath,999,0.1%,Pyramid Party Of India
9,Malyadri Ravulakollu,875,0.1%,Independent
10,Meda Malla Reddy,820,0.1%,Independent
11,Ananda Rao Sompalli,760,0.1%,Independent
12,Pandhiti Subbaiah,736,0.1%,Independent
13,Malli Venkateswarlu,686,0.1%,Independent
14,Naveen Sukpalli,626,0.1%,Independent
