"Position","Candidate Name","Votes","Votes %","Party"
1,Ram Kumar Sharma,411265,45.7%,Rashtriya Lok Samta Party
2,Sitaram Yadav,263300,29.2%,Rashtriya Janata Dal
3,Arjun Rai,97188,10.8%,Janata Dal (United)
4,Mahesh Nandan Singh,20613,2.3%,Independent
5,Kishori Das,18043,2.0%,Aam Aadmi Party
6,Rajeev Ranjan,11250,1.2%,All India Trinamool Congress
7,Chandrika Prasad,8846,1.0%,Independent
8,Mahesh Kumar,8521,0.9%,Bahujan Samaj Party
9,Satyendra Bhandari,7853,0.9%,Bahujan Mukti Party
10,Mohammad Faiyaz Ahmad,7586,0.8%,Independent
11,Sone Lal Sah,6115,0.7%,Independent
12,Narendra Mishra,6078,0.7%,Independent
13,Ajay Kumar,5454,0.6%,Independent
14,Syed Abu Dojana,4692,0.5%,Samajwadi Party
15,Surendra Kumar,4501,0.5%,Bajjikanchal Vikas Party
16,Jay Kumar Chaudhary,3880,0.4%,Lok Dal
17,Mahendra Prasad,3695,0.4%,Samajwadi Janata Party (RASHTRIYA)
18,Vinod Sah,2996,0.3%,Independent
19,Bharat Bhushan Sahni,2763,0.3%,Sarvajan Kalyan Loktantrik Party
