"Position","Candidate Name","Votes","Votes %","Party"
1,Mohammed Faizal P.P.,21665,50.1%,Nationalist Congress Party
2,Hamdullah Sayeed,20130,46.6%,Indian National Congress
3,Komalam Koya,488,1.1%,Samajwadi Party
4,Dr.Abdul Muneer,465,1.1%,Communist Party Of India (MARXIST)
5,M.P. Sayed Mohammed Koya,187,0.4%,Bharatiya Janta Party
6,Najmudheen C.T,181,0.4%,Communist Party Of India
