"Position","Candidate Name","Votes","Votes %","Party"
1,Sundaram P.R,563272,53.2%,All India Anna Dravida Munnetra Kazhagam
2,Gandhiselvan.S,268898,25.4%,Dravida Munetra Kazhagam
3,Vel S.K,146882,13.9%,Desiya Murpokku Dravida Kazhagam
4,Subramaniyan G.R,19800,1.9%,Indian National Congress
5,Velusamy.S,4827,0.5%,Tamil Nadu Makkal Congress
6,Sivaji.S.M,4808,0.5%,Independent
7,Chellakumarasamy.T.S(DR),4348,0.4%,Aam Aadmi Party
8,Sakthivel.S.P,3920,0.4%,Independent
9,Selvam.G,3362,0.3%,Independent
10,Subramani.S,3070,0.3%,Independent
11,Murali.V,2487,0.2%,Independent
12,Krishnan.M,2079,0.2%,Independent
13,Ramasamy.N,1874,0.2%,Independent
14,Selvaraj.R,1788,0.2%,Bahujan Samaj Party
15,Kalaivanan.M,1711,0.2%,Janata Dal (Secular)
16,Gunasekaran.S,1600,0.2%,Independent
17,Natarajan.M,1182,0.1%,Independent
18,Ramajeyam.G,915,0.1%,Independent
19,Perumal.A,858,0.1%,Independent
20,Selvaraj.S,835,0.1%,Independent
21,Panneerselvam.S,823,0.1%,Independent
22,Ponmudi.P,787,0.1%,Independent
23,Vadivel.R,737,0.1%,Ulzaipali Makkal Katchy
24,Ramasamy.P,717,0.1%,Independent
25,Gnanapandithan.P,700,0.1%,Republican Party Of India (A)
26,Dharmalingam.M,473,0.0%,Independent
