"Position","Candidate Name","Votes","Votes %","Party"
1,Adhir Ranjan Chowdhury,583549,50.5%,Indian National Congress
2,Indranil Sen,226982,19.7%,All India Trinamool Congress
3,Pramothes Mukherjee,225699,19.5%,Revolutionary Socialist Party
4,Debes Adhikari,81656,7.1%,Bharatiya Janta Party
5,Badrul Sekh,11642,1.0%,Social Democratic Party Of India
6,Md. Ezaruddin,4869,0.4%,Jamat-E-Seratul Mustakim
7,Kushadhwaj Bala,4676,0.4%,Bahujan Samaj Party
8,Abdus Sukur,4322,0.4%,Indian Union Muslim League
