"Position","Candidate Name","Votes","Votes %","Party"
1,Chandrakasi M,429536,39.5%,All India Anna Dravida Munnetra Kazhagam
2,Thirumaavalavan Thol,301041,27.7%,Viduthalai Chiruthaigal Katchi
3,Sudhamanirathinem,279016,25.6%,Pattali Makkal Katchi
4,Vallal Peruman P,28988,2.7%,Indian National Congress
5,Anandan Alias Kavignar Ananthamaalai S,8875,0.8%,Independent
6,Ezhumalai V,6824,0.6%,Akhil Bharat Hindu Mahasabha
7,Rajendran K,5179,0.5%,Bahujan Samaj Party
8,Rajkumar S,4896,0.4%,Independent
9,Thirusangu A,3370,0.3%,Independent
10,Pazhanivel P,1772,0.2%,Independent
11,Parvathi S,1543,0.1%,Independent
12,Pushparaj S,1523,0.1%,Independent
13,Senthamizhselvi K,1469,0.1%,Independent
14,Chandragasan N,1182,0.1%,Independent
15,Sanmugam A,1071,0.1%,Independent
