"Position","Candidate Name","Votes","Votes %","Party"
1,Ramvilas Paswan,455652,50.4%,Lok Jan Shakti Party
2,Sanjeev Prasad Toni,230152,25.4%,Indian National Congress
3,Ram Sundar Das,95790,10.6%,Janata Dal (United)
4,Viphiya Devi,24399,2.7%,Independent
5,Dina Nath Ram,21045,2.3%,Independent
6,Dhaneshwar Ram,12688,1.4%,Bahujan Samaj Party
7,Ujjawal Kant Hunkar,8957,1.0%,Bharatiya Momin Front
8,Upender Ram,8896,1.0%,Independent
9,Suresh Paswan,7544,0.8%,Independent
10,Raj Kr. Paswan,6344,0.7%,Aam Aadmi Party
11,Virchandra Paswan,4185,0.5%,Samajwadi Party
12,Rina Ragni,3882,0.4%,Bahujan Mukti Party
13,Randhir Kumar Ram,3711,0.4%,Bajjikanchal Vikas Party
14,Satya Narayan Paswan,3216,0.4%,All India Forward Bloc
15,Vidhan Chandra Rana,3198,0.4%,Samajwadi Janata Party (RASHTRIYA)
