"Position","Candidate Name","Votes","Votes %","Party"
1,Konda Vishweshwar Reddy,435077,33.1%,Telangana Rashtra Samithi
2,Patlolla Kartik Reddy,362054,27.5%,Indian National Congress
3,Tulla Veerender,353203,26.8%,Telugu Desam
4,Chan Pasha,56835,4.3%,Akhil Bharatiya Muslim League  (Secular)
5,Konda Raghava Reddy,40135,3.1%,Yuvajana Sramika Rythu Congress Party
6,G.Mallesham Goud,24660,1.9%,Independent
7,Samala Ravindar,7732,0.6%,Bahujan Samaj Party
8,Regatte Venkat Reddy,7462,0.6%,Aam Aadmi Party
9,Kummari Giri,5789,0.4%,Pyramid Party Of India
10,Md Yunus Miya,2904,0.2%,Marxist Communist Party Of India (United)
11,Dr. P. Sadhu Satyanadhan,2545,0.2%,Indian Christian Secular Party
12,Sutharapu Padmaiah,2214,0.2%,Andhra Pradesh Rashtra Samaikya Samithi Party
13,Sanike Ram Gopal Yadav,2058,0.2%,Independent
14,Dr.Golla Ramaiah,1765,0.1%,Telangana Loksatta Party
15,Syed Hashmathullah Quadri,1411,0.1%,Indian Union Muslim League
