"Position","Candidate Name","Votes","Votes %","Party"
1,Dr. Mamtaz Sanghamita,554521,41.7%,All India Trinamool Congress
2,Sk. Saidul Haque,447190,33.6%,Communist Party Of India (MARXIST)
3,Debasree Chaudhuri,237205,17.8%,Bharatiya Janta Party
4,Agasty Pradip,44355,3.3%,Indian National Congress
5,Md. Harun,11862,0.9%,Bahujan Samaj Party
6,Sunil Kumar Purkait,7574,0.6%,Socialist Unity Centre Of India (COMMUNIST)
7,Dr. Dhanapati Das,6665,0.5%,Bahujan Mukti Party
8,Sarada Moni Samanta,4984,0.4%,Independent
