"Position","Candidate Name","Votes","Votes %","Party"
1,Mallikarjun Kharge,507193,50.8%,Indian National Congress
2,Revunaik Belamagi,432460,43.3%,Bharatiya Janta Party
3,D.G. Sagar,15690,1.6%,Janata Dal (Secular)
4,Danni Mahadev B.,11428,1.1%,Bahujan Samaj Party
5,B.T.Lalitha Naik,9074,0.9%,Aam Aadmi Party
6,S.M. Sharma,4943,0.5%,Socialist Unity Centre Of India (COMMUNIST)
7,Ramu,4085,0.4%,Independent
8,Shankar Jadhav,2877,0.3%,Bharatiya Peoples Party
