"Position","Candidate Name","Votes","Votes %","Party"
1,Jual @ Juel Oram,340508,33.7%,Bharatiya Janta Party
2,Dilip Kumar Tirkey,321679,31.8%,Biju Janata Dal
3,Hemanand Biswal,269335,26.6%,Indian National Congress
4,Justin Lugun,9472,0.9%,Socialist Unity Centre Of India (COMMUNIST)
5,Bagi Lakra,9460,0.9%,Bahujan Samaj Party
6,Lawrencia Lakra,9001,0.9%,Independent
7,Sagar Singh Manaki,8448,0.8%,Kosal Kranti Dal
8,Basil Ekka,7429,0.7%,Aam Aadmi Party
9,Mansid Ekka,7282,0.7%,Independent
10,Das Charan Majhi,4408,0.4%,Jharkhand Disom Party
11,Satish Kumar Minz,3951,0.4%,Independent
12,Lily Prema Kujur,3903,0.4%,Bahujan Mukti Party
